I often feel stressed or overwhelmed.,I am generally satisfied with the quality of my sleep.,I have trouble focusing on tasks or staying attentive.,I find it difficult to relax and unwind after a busy day.,I frequently experience feelings of anxiety or worry.,"I regularly engage in activities that improve my mental well-being (e.g., mindfulness, exercise, journaling).",I feel connected and supported by the people in my life.,I often feel isolated or lonely.,I am able to effectively manage my daily stress.,I feel confident about handling unexpected challenges.,I tend to overthink situations or events.,I feel motivated and energized to complete my daily tasks.,I am comfortable practicing mindfulness or meditation techniques.,I am satisfied with my current mood and emotional state.,I am interested in learning new techniques to improve my mental health.,Total_Score,Target
4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,56,2
2,4,5,1,4,2,5,4,1,1,3,3,2,4,4,45,1
3,4,4,1,3,5,3,5,1,2,4,1,4,2,2,44,1
1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,47,1
2,4,5,2,2,4,2,2,4,4,1,5,5,2,5,49,1
2,1,4,4,4,5,1,5,5,1,1,1,1,4,3,42,1
3,1,3,3,1,3,5,2,2,1,4,1,4,2,1,36,1
5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,44,1
2,4,5,3,1,4,5,4,5,5,3,5,4,5,3,58,2
3,4,2,2,5,1,5,4,4,4,4,4,3,2,4,51,2
1,1,1,1,3,1,4,5,1,3,3,1,5,1,3,34,1
2,4,3,1,4,1,1,2,4,4,2,3,1,5,1,38,1
1,3,1,2,2,4,5,1,1,3,2,5,4,2,4,40,1
3,3,1,5,4,2,3,1,1,4,3,5,3,4,4,46,1
3,4,3,2,3,3,4,4,1,1,2,1,3,4,1,39,1
1,2,2,3,4,2,1,4,4,1,2,1,4,5,5,41,1
3,1,1,3,3,3,4,1,4,3,1,4,4,3,1,39,1
3,1,5,2,2,2,3,5,1,4,1,4,1,5,4,43,1
3,1,1,4,3,3,5,3,3,3,2,5,1,4,1,42,1
5,4,5,3,4,3,1,1,4,4,5,5,3,4,1,52,2
5,5,1,5,3,4,1,4,5,5,1,3,2,1,2,47,1
2,3,2,2,3,2,2,2,1,1,1,3,5,2,2,33,1
3,2,1,5,4,2,1,4,5,4,1,4,3,4,2,45,1
2,3,1,2,5,2,2,1,4,2,3,4,5,1,5,42,1
4,4,4,5,4,5,4,3,4,5,2,4,2,3,1,54,2
3,4,2,2,5,2,5,1,4,5,1,2,2,1,2,41,1
1,5,5,1,5,5,5,3,4,2,3,5,1,5,4,54,2
5,1,4,5,4,2,2,5,4,1,5,2,2,5,4,51,2
2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,44,1
4,2,3,4,1,1,5,3,3,5,4,3,1,1,2,42,1
3,4,5,5,4,2,5,3,2,3,1,2,5,2,2,48,1
2,2,3,1,4,2,5,2,5,3,5,4,1,5,5,49,1
1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,42,1
1,3,1,1,1,4,1,5,3,3,1,4,4,5,1,38,1
3,4,1,4,4,3,2,5,5,3,4,1,4,3,5,51,2
4,5,1,5,5,2,2,2,5,3,5,3,3,2,4,51,2
1,2,2,4,1,5,5,2,1,2,3,2,2,5,5,42,1
5,3,5,1,4,1,1,5,4,4,4,3,5,4,3,52,2
2,2,3,3,5,5,2,4,2,4,4,5,1,1,3,46,1
5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,53,2
3,4,5,4,3,3,4,1,2,1,1,1,5,3,1,41,1
3,4,2,4,4,5,2,4,4,2,2,4,2,4,4,50,2
5,1,4,3,1,1,1,5,4,5,4,5,5,3,5,52,2
2,3,5,1,2,2,2,3,5,5,1,1,2,1,3,38,1
5,2,1,3,3,1,5,1,2,1,3,1,5,4,1,38,1
5,5,3,5,5,5,5,2,2,3,1,5,1,1,3,51,2
5,5,4,1,1,2,4,2,2,2,3,3,2,4,1,41,1
4,5,3,1,1,5,5,2,3,3,4,2,2,2,2,44,1
3,3,2,4,1,1,4,2,3,1,5,5,4,2,1,41,1
2,1,4,4,5,2,5,2,5,3,3,3,3,1,3,46,1
4,4,1,3,3,3,5,2,5,2,3,3,5,5,2,50,2
4,2,5,5,1,5,1,4,2,2,1,2,5,3,1,43,1
2,1,1,3,5,1,2,4,1,1,3,5,4,2,4,39,1
2,5,2,3,3,3,3,4,5,2,2,3,3,1,5,46,1
4,2,1,1,2,4,1,1,5,4,1,4,2,3,1,36,1
5,2,4,2,1,4,3,2,1,5,4,2,2,3,3,43,1
5,5,1,1,5,5,4,3,1,3,3,5,4,2,4,51,2
4,3,4,1,3,1,2,3,2,3,5,4,5,2,4,46,1
